gene_entry,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Rab6a,P35279,RAB6A_MOUSE,reviewed,Ras-related protein Rab-6A (Rab-6),Rab6a Rab6 MNCb-1660,Mus musculus (Mouse),208
Rab7,P51150,RAB7A_MOUSE,reviewed,Ras-related protein Rab-7a,Rab7a Rab7,Mus musculus (Mouse),207
Rabac1,Q9Z0S9,PRAF1_MOUSE,reviewed,Prenylated Rab acceptor protein 1 (PRA1 family protein 1) (Prenylin),Rabac1 Pra Pra1 Praf1,Mus musculus (Mouse),185
Rabgap1,A2AWA9,RBGP1_MOUSE,reviewed,Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA),Rabgap1 Kiaa4104,Mus musculus (Mouse),1064
Rabgap1l,A6H6A9,RBG1L_MOUSE,reviewed,Rab GTPase-activating protein 1-like,Rabgap1l Hhl Kiaa0471,Mus musculus (Mouse),815
Rabggtb,P53612,PGTB2_MOUSE,reviewed,Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Rab geranyl-geranyltransferase subunit beta) (Rab GG transferase beta) (Rab GGTase beta) (Rab geranylgeranyltransferase subunit beta) (Type II protein geranyl-geranyltransferase subunit beta),Rabggtb,Mus musculus (Mouse),339
Rabif,Q91X96,MSS4_MOUSE,reviewed,Guanine nucleotide exchange factor MSS4 (Rab-interacting factor),Rabif,Mus musculus (Mouse),123
Rac1,P63001,RAC1_MOUSE,reviewed,Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (p21-Rac1),Rac1,Mus musculus (Mouse),192
Racgap1,Q9WVM1,RGAP1_MOUSE,reviewed,Rac GTPase-activating protein 1 (Male germ cell RacGap) (MgcRacGAP),Racgap1 Mgcracgap,Mus musculus (Mouse),628
Rad23b,P54728,RD23B_MOUSE,reviewed,UV excision repair protein RAD23 homolog B (HR23B) (mHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58),Rad23b Mhr23b,Mus musculus (Mouse),416
Rad51b,O35719,RA51B_MOUSE,reviewed,DNA repair protein RAD51 homolog 2 (R51H2) (RAD51 homolog B) (RAD51-like protein 1),Rad51b Rad51l1 Rec2,Mus musculus (Mouse),350
Rad54l2,Q99NG0,ARIP4_MOUSE,reviewed,Helicase ARIP4 (EC 3.6.4.12) (Androgen receptor-interacting protein 4) (RAD54-like protein 2) (Steroid receptor-interacting SNF2 domain-containing protein-like),Rad54l2 Arip4 Srisnf2l,Mus musculus (Mouse),1466
Rad9b,Q6WBX7,RAD9B_MOUSE,reviewed,Cell cycle checkpoint control protein RAD9B (DNA repair exonuclease rad9 homolog B) (mRAD9B),Rad9b,Mus musculus (Mouse),403
Raet1e,Q9CZQ6,RAE1E_MOUSE,reviewed,Retinoic acid early-inducible protein 1-epsilon (RAE-1-epsilon),Raet1e,Mus musculus (Mouse),251
H60b,B1B212,H60B_MOUSE,reviewed,Histocompatibility antigen 60b,H60b,Mus musculus (Mouse),251
Rai1,Q61818,RAI1_MOUSE,reviewed,Retinoic acid-induced protein 1,Rai1 Kiaa1820,Mus musculus (Mouse),1889
Ralgapa1,Q6GYP7,RGPA1_MOUSE,reviewed,Ral GTPase-activating protein subunit alpha-1 (GAP-related-interacting partner to E12) (GRIPE) (GTPase-activating RapGAP domain-like 1) (Tuberin-like protein 1) (p240),Ralgapa1 Garnl1 Kiaa0884 Tulip1,Mus musculus (Mouse),2035
Ralgapa2,A3KGS3,RGPA2_MOUSE,reviewed,Ral GTPase-activating protein subunit alpha-2 (250 kDa substrate of Akt) (AS250) (P220),Ralgapa2 Kiaa1272,Mus musculus (Mouse),1872
Ralgapb,Q8BQZ4,RLGPB_MOUSE,reviewed,Ral GTPase-activating protein subunit beta (p170),Ralgapb Kiaa1219,Mus musculus (Mouse),1484
Ran,P62827,RAN_MOUSE,reviewed,GTP-binding nuclear protein Ran (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein),Ran Rasl2-8,Mus musculus (Mouse),216
Ranbp2,Q9ERU9,RBP2_MOUSE,reviewed,E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (Ran-binding protein 2) (RanBP2),Ranbp2,Mus musculus (Mouse),3053
Rap1a,P62835,RAP1A_MOUSE,reviewed,Ras-related protein Rap-1A (Ras-related protein Krev-1),Rap1a Krev-1,Mus musculus (Mouse),184
Rap1b,Q99JI6,RAP1B_MOUSE,reviewed,Ras-related protein Rap-1b (GTP-binding protein smg p21B),Rap1b,Mus musculus (Mouse),184
Rap2c,Q8BU31,RAP2C_MOUSE,reviewed,Ras-related protein Rap-2c,Rap2c,Mus musculus (Mouse),183
Rapgef2,Q8CHG7,RPGF2_MOUSE,reviewed,Rap guanine nucleotide exchange factor 2 (Cyclic nucleotide ras GEF) (CNrasGEF) (Neural RAP guanine nucleotide exchange protein) (nRap GEP) (PDZ domain-containing guanine nucleotide exchange factor 1) (PDZ-GEF1) (RA-GEF-1) (Ras/Rap1-associating GEF-1),Rapgef2 Kiaa0313 Pdzgef1,Mus musculus (Mouse),1496
Rapgefl1,Q68EF8,RPGFL_MOUSE,reviewed,Rap guanine nucleotide exchange factor-like 1,Rapgefl1,Mus musculus (Mouse),662
Rars,Q9D0I9,SYRC_MOUSE,reviewed,"Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)",Rars,Mus musculus (Mouse),660
Rasa2,P58069,RASA2_MOUSE,reviewed,Ras GTPase-activating protein 2 (GAP1m),Rasa2,Mus musculus (Mouse),847
Rasa3,Q60790,RASA3_MOUSE,reviewed,Ras GTPase-activating protein 3 (GAP1(IP4BP)) (GapIII) (Ins P4-binding protein),Rasa3,Mus musculus (Mouse),834
Rasd1,O35626,RASD1_MOUSE,reviewed,Dexamethasone-induced Ras-related protein 1,Rasd1 Dexras1,Mus musculus (Mouse),280
Rasef,Q5RI75,RASEF_MOUSE,reviewed,Ras and EF-hand domain-containing protein homolog,Rasef,Mus musculus (Mouse),627
Rassf3,Q99P51,RASF3_MOUSE,reviewed,Ras association domain-containing protein 3,Rassf3,Mus musculus (Mouse),232
Rassf6,Q80UQ2,RASF6_MOUSE,reviewed,Ras association domain-containing protein 6,Rassf6,Mus musculus (Mouse),353
Rb1,P13405,RB_MOUSE,reviewed,Retinoblastoma-associated protein (p110-RB1) (pRb) (Rb) (pp105),Rb1 Rb-1,Mus musculus (Mouse),921
Rbfox2,Q8BP71,RFOX2_MOUSE,reviewed,RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (Fox-1 homolog Fxh) (Hexaribonucleotide-binding protein 2) (RNA-binding motif protein 9) (RNA-binding protein 9),Rbfox2 Fox2 Fxh Hrnbp2 Rbm9,Mus musculus (Mouse),449
Rbm14,Q8C2Q3,RBM14_MOUSE,reviewed,RNA-binding protein 14 (RNA-binding motif protein 14),Rbm14,Mus musculus (Mouse),669
Rbm15,Q0VBL3,RBM15_MOUSE,reviewed,RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15),Rbm15 Kiaa4257 Ott1,Mus musculus (Mouse),962
Rbm17,Q8JZX4,SPF45_MOUSE,reviewed,Splicing factor 45 (45 kDa-splicing factor) (RNA-binding motif protein 17),Rbm17 Spf45,Mus musculus (Mouse),405
Rbm38,Q62176,RBM38_MOUSE,reviewed,RNA-binding protein 38 (RNA-binding motif protein 38) (RNA-binding region-containing protein 1) (ssDNA-binding protein SEB4),Rbm38 Rnpc1 Seb4 Seb4l,Mus musculus (Mouse),237
Rbm4,Q8C7Q4,RBM4_MOUSE,reviewed,RNA-binding protein 4 (Lark homolog) (mLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a),Rbm4 Rbm4a,Mus musculus (Mouse),361
Rbm42,Q91V81,RBM42_MOUSE,reviewed,RNA-binding protein 42 (RNA-binding motif protein 42),Rbm42,Mus musculus (Mouse),478
Rbm47,Q91WT8,RBM47_MOUSE,reviewed,RNA-binding protein 47 (RNA-binding motif protein 47),Rbm47,Mus musculus (Mouse),590
Rbms1,Q91W59,RBMS1_MOUSE,reviewed,"RNA-binding motif, single-stranded-interacting protein 1 (Single-stranded DNA-binding protein MSSP-1)",Rbms1 Mssp Mssp1,Mus musculus (Mouse),403
Rbp1,F8VPQ2,ARI4A_MOUSE,reviewed,AT-rich interactive domain-containing protein 4A (ARID domain-containing protein 4A) (Retinoblastoma-binding protein 1),Arid4a Rbbp1 Rbp1,Mus musculus (Mouse),1261
Rbp1,Q00915,RET1_MOUSE,reviewed,Retinol-binding protein 1 (Cellular retinol-binding protein) (CRBP) (Cellular retinol-binding protein I) (CRBP-I) (mCRBPI),Rbp1 Crbpi Rbp-1,Mus musculus (Mouse),135
Rbp1,Q7TNF8,RIMB1_MOUSE,reviewed,Peripheral-type benzodiazepine receptor-associated protein 1 (PRAX-1) (Peripheral benzodiazepine receptor-interacting protein) (PBR-IP) (RIMS-binding protein 1) (RIM-BP1) (TSPO-associated protein 1),Tspoap1 Bzrap1 Kiaa0612 Rbp1,Mus musculus (Mouse),1846
Rbx1,P62878,RBX1_MOUSE,reviewed,"E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (RING finger protein 75) (RING-box protein 1) (Rbx1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed]",Rbx1,Mus musculus (Mouse),108
Rcc1,Q8VE37,RCC1_MOUSE,reviewed,Regulator of chromosome condensation (Chromosome condensation protein 1),Rcc1 Chc1,Mus musculus (Mouse),421
Rcc2,Q8BK67,RCC2_MOUSE,reviewed,Protein RCC2,Rcc2 Kiaa1470,Mus musculus (Mouse),520
Rchy1,Q9CR50,ZN363_MOUSE,reviewed,RING finger and CHY zinc finger domain-containing protein 1 (EC 2.3.2.27) (Androgen receptor N-terminal-interacting protein) (CH-rich-interacting match with PLAG1) (E3 ubiquitin-protein ligase Pirh2) (RING-type E3 ubiquitin transferase RCHY1) (Zinc finger protein 363),Rchy1 Arnip Chimp Zfp363 Znf363,Mus musculus (Mouse),261
Rcl1,Q9JJT0,RCL1_MOUSE,reviewed,RNA 3'-terminal phosphate cyclase-like protein,Rcl1 Rnac,Mus musculus (Mouse),373
Rdh10,Q8VCH7,RDH10_MOUSE,reviewed,Retinol dehydrogenase 10 (EC 1.1.1.300),Rdh10,Mus musculus (Mouse),341
Rdh11,Q9QYF1,RDH11_MOUSE,reviewed,Retinol dehydrogenase 11 (EC 1.1.1.300) (Androgen-regulated short-chain dehydrogenase/reductase 1) (Cell line MC/9.IL4-derived protein 1) (M42C60) (Prostate short-chain dehydrogenase/reductase 1) (Retinal reductase 1) (RalR1) (Short-chain aldehyde dehydrogenase) (SCALD),Rdh11 Arsdr1 Mdt1 Psdr1,Mus musculus (Mouse),316
Rdx,P26043,RADI_MOUSE,reviewed,Radixin (ESP10),Rdx,Mus musculus (Mouse),583
Reep3,Q99KK1,REEP3_MOUSE,reviewed,Receptor expression-enhancing protein 3,Reep3 D10Ucla1,Mus musculus (Mouse),254
Reep4,Q8K072,REEP4_MOUSE,reviewed,Receptor expression-enhancing protein 4,Reep4,Mus musculus (Mouse),257
Reg3b,P35230,REG3B_MOUSE,reviewed,Regenerating islet-derived protein 3-beta (REG-3-beta) (Pancreatitis-associated protein 1) (Regenerating islet-derived protein III-beta) (Reg III-beta) [Cleaved into: Regenerating islet-derived protein 3-beta 16.5 kDa form; Regenerating islet-derived protein 3-beta 15 kDa form],Reg3b Pap Pap1,Mus musculus (Mouse),175
Reg3g,O09049,REG3G_MOUSE,reviewed,Regenerating islet-derived protein 3-gamma (REG-3-gamma) (Pancreatitis-associated protein 3) (Regenerating islet-derived protein III-gamma) (Reg III-gamma) [Cleaved into: Regenerating islet-derived protein 3-gamma 16.5 kDa form; Regenerating islet-derived protein 3-gamma 15 kDa form],Reg3g Pap3,Mus musculus (Mouse),174
Rell1,Q8K2J7,RELL1_MOUSE,reviewed,RELT-like protein 1,Rell1,Mus musculus (Mouse),272
Reps2,Q80XA6,REPS2_MOUSE,reviewed,RalBP1-associated Eps domain-containing protein 2 (Partner of RalBP1) (RalBP1-interacting protein 2),Reps2 Pob1,Mus musculus (Mouse),521
Rere,Q80TZ9,RERE_MOUSE,reviewed,Arginine-glutamic acid dipeptide repeats protein (Atrophin-2),Rere Atr2 Kiaa0458,Mus musculus (Mouse),1558
Rest,Q8VIG1,REST_MOUSE,reviewed,RE1-silencing transcription factor (Neural-restrictive silencer factor),Rest Nrsf,Mus musculus (Mouse),1082
Ret,P35546,RET_MOUSE,reviewed,Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment],Ret,Mus musculus (Mouse),1115
Retreg1,Q8VE91,RETR1_MOUSE,reviewed,Reticulophagy regulator 1 (Reticulophagy receptor 1),Retreg1 Fam134b,Mus musculus (Mouse),480
Rexo1,Q7TT28,REXO1_MOUSE,reviewed,RNA exonuclease 1 homolog (EC 3.1.-.-) (Transcription elongation factor B polypeptide 3-binding protein 1),Rexo1 Kiaa1138 Tceb3bp1,Mus musculus (Mouse),1213
Rfc1,P35601,RFC1_MOUSE,reviewed,Replication factor C subunit 1 (A1-P145) (Activator 1 140 kDa subunit) (A1 140 kDa subunit) (Activator 1 large subunit) (Activator 1 subunit 1) (Differentiation-specific element-binding protein) (ISRE-binding protein) (Replication factor C 140 kDa subunit) (RF-C 140 kDa subunit) (RFC140) (Replication factor C large subunit),Rfc1 Ibf-1 Recc1,Mus musculus (Mouse),1131
Rfk,Q8CFV9,RIFK_MOUSE,reviewed,Riboflavin kinase (EC 2.7.1.26) (ATP:riboflavin 5'-phosphotransferase) (Flavokinase) (KOI-4),Rfk,Mus musculus (Mouse),155
Rgp1,Q8BHT7,RGP1_MOUSE,reviewed,RAB6A-GEF complex partner protein 2 (Retrograde Golgi transport protein RGP1 homolog),Rgp1 Kiaa0258,Mus musculus (Mouse),391
Rgs16,P97428,RGS16_MOUSE,reviewed,Regulator of G-protein signaling 16 (RGS16) (A28-RGS14P) (Retinal-specific RGS) (RGS-r) (Retinally abundant regulator of G-protein signaling),Rgs16 Rgsr,Mus musculus (Mouse),201
Rhbdf2,Q80WQ6,RHDF2_MOUSE,reviewed,Inactive rhomboid protein 2 (iRhom2) (Rhomboid family member 2) (Rhomboid veinlet-like protein 6) (Rhomboid-related protein),Rhbdf2 Irhom2 Rhbdl6 Rhor,Mus musculus (Mouse),827
Rhebl1,Q9D8T3,REBL1_MOUSE,reviewed,GTPase RhebL1 (Ras homolog enriched in brain-like protein 1) (Rheb-like protein 1),Rhebl1,Mus musculus (Mouse),184
Rhoa,Q9QUI0,RHOA_MOUSE,reviewed,Transforming protein RhoA (EC 3.6.5.2),Rhoa Arha Arha2,Mus musculus (Mouse),193
Rhob,P62746,RHOB_MOUSE,reviewed,Rho-related GTP-binding protein RhoB,Rhob Arhb,Mus musculus (Mouse),196
Rhobtb2,Q91V93,RHBT2_MOUSE,reviewed,Rho-related BTB domain-containing protein 2 (Deleted in breast cancer 2 gene protein homolog),Rhobtb2 Dbc2,Mus musculus (Mouse),728
Rhoc,Q62159,RHOC_MOUSE,reviewed,Rho-related GTP-binding protein RhoC (Silica-induced gene 61 protein) (SIG-61),Rhoc Arhc,Mus musculus (Mouse),193
Rhog,P84096,RHOG_MOUSE,reviewed,Rho-related GTP-binding protein RhoG (Sid 10750),Rhog Arhg Sid10750,Mus musculus (Mouse),191
Rhpn2,Q8BWR8,RHPN2_MOUSE,reviewed,Rhophilin-2 (GTP-Rho-binding protein 2),Rhpn2,Mus musculus (Mouse),686
Ric1,Q69ZJ7,RIC1_MOUSE,reviewed,RAB6A-GEF complex partner protein 1 (Protein RIC1 homolog),Ric1 Kiaa1432,Mus musculus (Mouse),1422
Rictor,Q6QI06,RICTR_MOUSE,reviewed,Rapamycin-insensitive companion of mTOR (AVO3 homolog) (mAVO3) (Protein pianissimo),Rictor Kiaa1999,Mus musculus (Mouse),1708
Rin2,Q9D684,RIN2_MOUSE,reviewed,Ras and Rab interactor 2 (Ras interaction/interference protein 2),Rin2,Mus musculus (Mouse),903
Rin3,P59729,RIN3_MOUSE,reviewed,Ras and Rab interactor 3 (Ras interaction/interference protein 3),Rin3,Mus musculus (Mouse),980
Ripk2,P58801,RIPK2_MOUSE,reviewed,Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2),Ripk2,Mus musculus (Mouse),539
Rlf,O09107,INSL3_MOUSE,reviewed,Insulin-like 3 (Leydig insulin-like peptide) (Ley-I-L) (Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain],Insl3 Rlf,Mus musculus (Mouse),122
Rlf,Q61193,RGL2_MOUSE,reviewed,Ral guanine nucleotide dissociation stimulator-like 2 (RalGDS-like 2) (RalGDS-like factor) (Ras-associated protein RAB2L),Rgl2 Rab2l Rlf,Mus musculus (Mouse),778
Rmnd5a,Q80YQ8,RMD5A_MOUSE,reviewed,E3 ubiquitin-protein ligase RMND5A (EC 2.3.2.27) (Protein RMD5 homolog A),Rmnd5a,Mus musculus (Mouse),391
Rnase4,Q9JJH1,RNAS4_MOUSE,reviewed,Ribonuclease 4 (RNase 4) (EC 3.1.27.-),Rnase4,Mus musculus (Mouse),148
Rnasel,Q05921,RN5A_MOUSE,reviewed,2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L),Rnasel Rns4,Mus musculus (Mouse),735
Rnd3,P61588,RND3_MOUSE,reviewed,Rho-related GTP-binding protein RhoE (Rho family GTPase 3) (Rnd3),Rnd3 Arhe Rhoe,Mus musculus (Mouse),244
Rnf10,Q3UIW5,RNF10_MOUSE,reviewed,RING finger protein 10 (Sid 2705),Rnf10 Kiaa0262 Rie2 Sid2705,Mus musculus (Mouse),804
Rnf103,Q9R1W3,RN103_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF103 (EC 2.3.2.27) (KF-1) (mKF-1) (RING finger protein 103) (RING-type E3 ubiquitin transferase RNF103) (Zinc finger protein 103) (Zfp-103),Rnf103 Zfp103,Mus musculus (Mouse),683
Rnf11,Q9QYK7,RNF11_MOUSE,reviewed,RING finger protein 11 (NEDD4 WW domain-binding protein 2) (Sid 1669),Rnf11 N4wbp2 Sid1669,Mus musculus (Mouse),154
Rnf111,Q99ML9,RN111_MOUSE,reviewed,E3 ubiquitin-protein ligase Arkadia (EC 2.3.2.27) (RING finger protein 111) (RING-type E3 ubiquitin transferase Arkadia),Rnf111,Mus musculus (Mouse),989
Rnf114,Q9ET26,RN114_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF114 (EC 2.3.2.27) (RING finger protein 114) (RING-type E3 ubiquitin transferase RNF114) (Zinc finger protein 228) (Zinc finger protein 313),Rnf114 Zfp228 Zfp313 Znf228 Znf313,Mus musculus (Mouse),229
Rnf125,Q9D9R0,RN125_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF125 (EC 2.3.2.27) (RING finger protein 125),Rnf125,Mus musculus (Mouse),233
Rnf13,O54965,RNF13_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF13 (EC 2.3.2.27) (RING finger protein 13) (RING-type E3 ubiquitin transferase RNF13),Rnf13 Rzf,Mus musculus (Mouse),381
Rnf135,Q9CWS1,RN135_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF135 (EC 2.3.2.27) (RING finger protein 135) (RING-type E3 ubiquitin transferase RNF135),Rnf135,Mus musculus (Mouse),417
Rnf138,Q9CQE0,RN138_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF138 (EC 2.3.2.27) (RING finger protein 138) (RING-type E3 ubiquitin transferase RNF138),Rnf138 Trif,Mus musculus (Mouse),245
Rnf139,Q7TMV1,RN139_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF139 (EC 2.3.2.27) (RING finger protein 139) (RING-type E3 ubiquitin transferase RNF139) (Translocation in renal carcinoma on chromosome 8 protein),Rnf139,Mus musculus (Mouse),668
Rnf145,Q5SWK7,RN145_MOUSE,reviewed,RING finger protein 145 (EC 2.3.2.27),Rnf145,Mus musculus (Mouse),663
Rnf167,Q91XF4,RN167_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF167 (EC 2.3.2.27) (RING finger protein 167) (RING-type E3 ubiquitin transferase RNF167),Rnf167,Mus musculus (Mouse),347
Rnf181,Q9CY62,RN181_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF181 (EC 2.3.2.27) (RING finger protein 181) (RING-type E3 ubiquitin transferase RNF181),Rnf181,Mus musculus (Mouse),165
Rnf19a,P50636,RN19A_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF19A (EC 2.3.2.31) (Double ring-finger protein) (Dorfin) (Gametogenesis-expressed protein GEG-154) (RING finger protein 19A) (UBCM4-interacting protein 117) (UIP117) (XY body protein) (XYbp),Rnf19a Geg-154 Rnf19 Xybp,Mus musculus (Mouse),840
Rnf213,E9Q555,RN213_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213),Rnf213 Mystr,Mus musculus (Mouse),5152
Rnf217,D3YYI7,RN217_MOUSE,reviewed,Probable E3 ubiquitin-protein ligase RNF217 (EC 2.3.2.31) (IBR domain-containing protein 1) (RING finger protein 217),Rnf217 Ibrdc1,Mus musculus (Mouse),515
Rnf31,Q924T7,RNF31_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF31 (EC 2.3.2.31) (HOIL-1-interacting protein) (HOIP) (Putative Ariadne-like ubiquitin ligase) (PAUL) (RING finger protein 31) (RING-type E3 ubiquitin transferase RNF31),Rnf31 Paul,Mus musculus (Mouse),1066
Rnf38,Q8BI21,RNF38_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF38 (EC 2.3.2.27) (RING finger protein 38) (RING-type E3 ubiquitin transferase RNF38),Rnf38,Mus musculus (Mouse),518
Rnf4,Q9QZS2,RNF4_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF4 (EC 2.3.2.27) (RING finger protein 4) (RING-type E3 ubiquitin transferase RNF4),Rnf4,Mus musculus (Mouse),194
Rnf43,Q5NCP0,RNF43_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF43 (EC 2.3.2.27) (RING finger protein 43) (RING-type E3 ubiquitin transferase RNF43),Rnf43,Mus musculus (Mouse),784
Rnf44,Q3UHJ8,RNF44_MOUSE,reviewed,RING finger protein 44,Rnf44 Kiaa1100,Mus musculus (Mouse),407
Rnf7,Q9WTZ1,RBX2_MOUSE,reviewed,RING-box protein 2 (Rbx2) (RING finger protein 7) (Sensitive to apoptosis gene protein),Rnf7 Rbx2 Sag,Mus musculus (Mouse),113
Rnh1,O70338,RNH1_MOUSE,reviewed,Ribonuclease H1 (RNase H1) (EC 3.1.26.4),Rnaseh1 Rnh1,Mus musculus (Mouse),285
Rnh1,Q91VI7,RINI_MOUSE,reviewed,Ribonuclease inhibitor (Ribonuclease/angiogenin inhibitor 1),Rnh1 Rnh,Mus musculus (Mouse),456
Rnmt,Q9D0L8,MCES_MOUSE,reviewed,mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7)-)-methyltransferase) (mRNA cap methyltransferase),Rnmt Kiaa0398,Mus musculus (Mouse),465
Rnpepl1,G5E872,RNPL1_MOUSE,reviewed,Aminopeptidase RNPEPL1 (EC 3.4.11.-) (Methionyl aminopeptidase) (EC 3.4.11.18),Rnpepl1,Mus musculus (Mouse),720
Rock1,P70335,ROCK1_MOUSE,reviewed,"Rho-associated protein kinase 1 (EC 2.7.11.1) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p160 ROCK-1) (p160ROCK)",Rock1,Mus musculus (Mouse),1354
Rock2,P70336,ROCK2_MOUSE,reviewed,"Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)",Rock2,Mus musculus (Mouse),1388
Romo1,P60603,ROMO1_MOUSE,reviewed,Reactive oxygen species modulator 1 (ROS modulator 1) (Protein MGR2 homolog),Romo1,Mus musculus (Mouse),79
Ror2,Q9Z138,ROR2_MOUSE,reviewed,"Tyrosine-protein kinase transmembrane receptor ROR2 (mROR2) (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)",Ror2,Mus musculus (Mouse),944
Rora,P51448,RORA_MOUSE,reviewed,Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha),Rora Nr1f1 Rzra,Mus musculus (Mouse),523
Limk2,O54785,LIMK2_MOUSE,reviewed,LIM domain kinase 2 (LIMK-2) (EC 2.7.11.1),Limk2,Mus musculus (Mouse),638
Abhd2,Q9QXM0,ABHD2_MOUSE,reviewed,Monoacylglycerol lipase ABHD2 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 2) (Acetylesterase) (EC 3.1.1.6) (Lung alpha/beta hydrolase 2) (MmLABH2) (Triacylglycerol lipase) (EC 3.1.1.79),Abhd2 Labh-2 Labh2,Mus musculus (Mouse),425
Lrp1b,Q9JI18,LRP1B_MOUSE,reviewed,Low-density lipoprotein receptor-related protein 1B (LRP-1B) (Low-density lipoprotein receptor-related protein-deleted in tumor) (LRP-DIT),Lrp1b Lrpdit,Mus musculus (Mouse),4599
C1galt1,Q9JJ06,C1GLT_MOUSE,reviewed,"Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (Core 1 O-glycan T-synthase) (T-syn) (Core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 1) (Core 1 beta1,3-galactosyltransferase 1) (C1GalT1) (Core 1 beta3-Gal-T1)",C1galt1 Plt1,Mus musculus (Mouse),363
Etv6,P97360,ETV6_MOUSE,reviewed,Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1) (Tel),Etv6 Tel Tel1,Mus musculus (Mouse),485
Col1a2,Q01149,CO1A2_MOUSE,reviewed,Collagen alpha-2(I) chain (Alpha-2 type I collagen),Col1a2 Cola2,Mus musculus (Mouse),1372
Zc3h11a,Q6NZF1,ZC11A_MOUSE,reviewed,Zinc finger CCCH domain-containing protein 11A,Zc3h11a Kiaa0663,Mus musculus (Mouse),792
Casp8,O89110,CASP8_MOUSE,reviewed,Caspase-8 (CASP-8) (EC 3.4.22.61) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10],Casp8,Mus musculus (Mouse),480
Picalm,Q7M6Y3,PICAL_MOUSE,reviewed,Phosphatidylinositol-binding clathrin assembly protein (Clathrin assembly lymphoid myeloid leukemia) (CALM),Picalm Calm Fit1,Mus musculus (Mouse),660
Rp9,P97762,RP9_MOUSE,reviewed,Retinitis pigmentosa 9 protein homolog (Pim-1-associated protein) (PAP-1),rp9 Rp9h,Mus musculus (Mouse),213
Rpa2,P70700,RPA2_MOUSE,reviewed,DNA-directed RNA polymerase I subunit RPA2 (RNA polymerase I subunit 2) (EC 2.7.7.6) (DNA-directed RNA polymerase I 135 kDa polypeptide) (RPA135),Polr1b Rpa2 Rpo1-2,Mus musculus (Mouse),1135
